Iterations	:1000	TopicNum:	50
alphaSum:	7.449186861932406	betaSum:	207.0283260778097
alpha:	0.23891363170464883 0.023052880439698248 0.1472328918557822 0.030871423866853237 0.0412165537745713 0.031209601805401204 0.06372871223725504 0.04156245897450485 1.6270451090757259 0.038445811546125294 0.034179735064830345 0.1595094621208342 0.44124619390213493 0.037406388346858055 0.2585369211807854 0.2525825809633103 0.008877773209944002 0.08710313403717296 0.07156351090401591 0.011649663675857883 0.08286865215075102 0.02657816544591845 0.2177433029825631 0.04331280923727059 0.02887791992301221 0.026983859959780563 0.04791205416453418 0.10263518010636294 0.03108109630951609 0.25073351107105984 0.03306092202162505 0.033311571659437766 0.01698260169425081 0.047246034984361626 0.0456662228964459 0.20649884056389084 0.04968775293811574 0.6801353400202197 0.04708921622974526 0.10369547993717401 0.03283632004641785 0.22382036422831947 0.029352619218319335 0.015841105307544012 0.027093984609062385 0.05650454923956722 0.0662304605896742 0.4918926981415447 0.06340357937865947 0.6741762081909531 
testNum:0	testIter	500
PhraseLDA starts:	1478239293876
Inference starts:	1478239294500
training perplexity@0:	1850.819505408681
testing perplexity@0:	NaN
Time:	1478239294864
training perplexity@100:	986.2687572087168
testing perplexity@100:	NaN
Time:	1478239414547
training perplexity@200:	824.0468614552921
testing perplexity@200:	NaN
Time:	1478239512977
training perplexity@300:	783.1350090788827
testing perplexity@300:	NaN
Time:	1478239604124
training perplexity@400:	765.83541463916
testing perplexity@400:	NaN
Time:	1478239695684
training perplexity@500:	755.9779997902347
testing perplexity@500:	NaN
Time:	1478239786751
training perplexity@600:	749.5312386983596
testing perplexity@600:	NaN
Time:	1478239877855
training perplexity@700:	744.4496132171092
testing perplexity@700:	NaN
Time:	1478239968274
training perplexity@800:	740.2105750865434
testing perplexity@800:	NaN
Time:	1478240057980
training perplexity@900:	737.8631444137334
testing perplexity@900:	NaN
Time:	1478240148163
training perplexity@1000:	736.5165530803725
testing perplexity@1000:	NaN
PhraseLDA Done:	1478240238497

